Organization|Report Name|Publication year|Report type|Adherence level
ADHI|Sustainability Report 2015|2016|Citing - GRI|None
ADHI|Sustainability Report 2014|2015|Citing - GRI|None
ADHI|Sustainability Report 2013|2014|Non - GRI|N/A
ADHI|Sustainability Report 2011|2012|GRI - G3.1|Undeclared
ADHI|Sustainability Report 2010|2011|Citing - GRI|None
ADHI|Sustainability Report 2009|2010|Non - GRI|N/A
Adidas Group|2016 Sustainability Progress Report - CALLING ALL CREATORS|2017|Non - GRI|N/A
Adidas Group|Sustainability Progress Report 2015|2016|Non - GRI|N/A
Adidas Group|SUSTAINABILITY PROGRESS REPORT 2014|2015|Citing - GRI|None
Adidas Group|Sustainability Progress Report 2013|2014|Citing - GRI|None
Adidas Group|Sustainability Progress Report 2012|2013|Citing - GRI|None
Adidas Group|Sustianability Report 2011|2012|GRI - G3.1|B
Adidas Group|Sustainability Report 2010|2011|GRI - G3|B
Adidas Group|Nachhaltigkeitsbericht 2009|2010|Non - GRI|N/A
Adidas Group|Nachhaltigkeitsbericht 2008|2009|Non - GRI|N/A
Adidas Group|Corporate Responsibility Report 2007|2008|GRI - G3|C
Adidas Group|2004 Social & Environmental Report|2005|GRI - G2|Content Index Only
Adidas Group|2003 Social & Environmental Report|2004|GRI - G2|Content Index Only
Adidas Group|2002 Social & Environmental Report|2003|GRI - G2|Content Index Only
Adidas Group|2001 Social & Environmental Report|2002|GRI - G1|None
ADIF|INFORME DE SOSTENIBILIDAD 2017|2018|GRI - G4|In accordance - Comprehensive
ADIF|Informe de Sostenibilidad y Gobierno Corporativo 2016|2017|GRI - G4|In accordance - Comprehensive
ADIF|Informe de Sostenibilidad y Gobierno Corporativo|2016|GRI - G4|In accordance - Comprehensive
ADIF|Informe de Sostenibilidad y Gobierno Corporativo|2015|GRI - G4|In accordance - Core
ADIF|Informe de Sostenibilidad y Gobierno Corporativo 2013|2014|GRI - G4|In accordance - Comprehensive
ADIF|2012 Informe de Sostenibilidad - Resumen Ejecutivo|2013|Non - GRI|N/A
ADIF|Informe de Sostenibilidad 2011|2012|GRI - G3.1|A
ADIF|Informe de Sostenibilidad 2010 de Adif|2011|GRI - G3.1|A+
ADIF|Informe de Sostenibilidad 2009|2010|GRI - G3|A+
ADIF|Informe de Sostenibilidad 2008|2009|GRI - G3|A+
ADIF|2007 Informe de Sostenibilidad|2008|GRI - G3|A+
ADIF|Informe de Sostenibilidad 2006|2007|GRI - G3|A+
ADIF|Memoria de RSC de Adif|2006|GRI - G2|Content Index Only
Adira Finance|Driving Innovation and Growth: Annual Report 2017|2018|Non - GRI|N/A
Adira Finance|Annual Report 2016|2017|Citing - GRI|None
Adira Finance|Sustainability Report 2015|2016|GRI - G4|In accordance - Core
Adira Finance|Sustainability Report 2014|2015|GRI - G4|In accordance - Core
Adira Finance|Laporan Berkelanjutan Sustainability Report 2013|2014|GRI - G4|In accordance - Core
Adira Finance|Sustainability Report 2012|2013|GRI - G3.1|Undeclared
Adira Finance|Laporan Keberlanjutan 2011|2012|Non - GRI|N/A
Adira Finance|Laporan Keberlanjutan 2010|2011|Non - GRI|N/A
Adisseo France SAS|Rapport Développement Durable 2017|2018|Citing - GRI|None
Adisseo France SAS|Sustainable Development Report 2016|2017|GRI - G4|Undeclared
Adisseo France SAS|Sustainable Development Report 2015|2016|GRI - G4|Undeclared
Adisseo France SAS|Sustainable development report 2014|2015|GRI - G4|Undeclared
Adisseo France SAS|Sustainable Development Report 2013|2014|GRI - G4|Undeclared
Adisseo France SAS|Sustainability Report 2012|2013|GRI - G3|C
